TARGET_ID	INDIVIDUALS	STRATA
HI1317	HI1317	south_gbr
HI1322	HI1322	south_gbr
HI1326	HI1326	south_gbr
HI1329	HI1329	south_gbr
HI1330	HI1330	south_gbr
HI1332	HI1332	south_gbr
HI1333	HI1333	south_gbr
HI1335	HI1335	south_gbr
HI134	HI134	south_gbr
HI135	HI135	south_gbr
HI136	HI136	south_gbr
HI137	HI137	south_gbr
HI139	HI139	south_gbr
NoTag1	NoTag1	scott
NoTag2	NoTag2	scott
NoTag3	NoTag3	scott
NoTag4	NoTag4	scott
Scott1	Scott1	scott
Scott10	Scott10	scott
Scott11	Scott11	scott
Scott12	Scott12	scott
Scott14	Scott14	scott
Scott2	Scott2	scott
Scott3	Scott3	scott
Scott4	Scott4	scott
Scott6	Scott6	scott
Scott7	Scott7	scott
Scott8	Scott8	scott
Scott9	Scott9	scott
SH1	SH1	rowley
SH10	SH10	rowley
SH2	SH2	rowley
SH3	SH3	rowley
SH4	SH4	rowley
SH5	SH5	rowley
SH6	SH6	rowley
SH7	SH7	rowley
SH8	SH8	rowley
SH9	SH9	rowley
Unknown	Unknown	south_gbr
